## REPORT METADATA
Start Date,2026-07-24
End Date,2026-07-30
Week Ending,"July 30th, 2026"
Date Range Label,"July 24 – July 30, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,183,45,24.6%,133,72.7%
Show Rate,57.4%,71.1%,,52.6%,
Showed,105,32,30.5%,70,66.7%
Qualified,99,30,30.3%,67,67.7%
Closed Won,26,7,26.9%,19,73.1%
Close Rate (b→c),14.2%,15.6%,,14.3%,
Revenue,"$194,000","$60,779",31.3%,"$133,221",68.7%
Avg Deal,"$7,462","$8,683",,"$7,012",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,18,18,14% (132),15,83.3%,14,77.8%,3,16.7%,"$33,891","$11,297",0.7
IN-HOUSE,Meta Ads,,9,9,20% (44),2,22.2%,1,11.1%,,0.0%,$0,,
IN-HOUSE,Website,,30,30,30% (100),15,50.0%,14,46.7%,5,16.7%,"$37,176","$7,435",11.0
IN-HOUSE,Internal Webinar,,20,20,29% (70),10,50.0%,8,40.0%,2,10.0%,"$14,994","$7,497",3.0
IN-HOUSE,Reactivation Scrapers,,53,53,,25,47.2%,28,52.8%,8,15.1%,"$41,163","$5,145",10.1
IN-HOUSE,Google Ads,,1,1,,1,100.0%,1,100.0%,1,100.0%,"$5,997","$5,997",1.0
IN-HOUSE,LTF - In-House,,2,2,,2,100.0%,1,50.0%,,0.0%,$0,,
EXTERNAL,Instagram,,43,43,14% (300),30,69.8%,29,67.4%,6,14.0%,"$45,782","$7,630",14.2
EXTERNAL,X,,2,2,20% (10),2,100.0%,1,50.0%,1,50.0%,"$14,997","$14,997",0.0
UNCATEGORIZED,No Attribution,,5,5,,3,60.0%,2,40.0%,,0.0%,$0,,
TOTAL,TOTAL,,183,,,105,57.4%,99,54.1%,26,14.2%,"$194,000","$7,462",8.8
