## REPORT METADATA
Start Date,2026-07-31
End Date,2026-08-06
Week Ending,"August 6th, 2026"
Date Range Label,"July 31 – August 6, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,121,19,15.7%,92,76.0%
Show Rate,57.9%,52.6%,,59.8%,
Showed,70,10,14.3%,55,78.6%
Qualified,68,12,17.6%,53,77.9%
Closed Won,15,2,13.3%,13,86.7%
Close Rate (b→c),12.4%,10.5%,,14.1%,
Revenue,"$115,855","$12,994",11.2%,"$102,861",88.8%
Avg Deal,"$7,724","$6,497",,"$7,912",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,15,15,11% (132),13,86.7%,11,73.3%,3,20.0%,"$21,891","$7,297",39.7
IN-HOUSE,Meta Ads,,8,8,18% (44),3,37.5%,3,37.5%,1,12.5%,"$8,997","$8,997",13.0
IN-HOUSE,Website,,6,6,6% (100),5,83.3%,5,83.3%,4,66.7%,"$29,988","$7,497",4.8
IN-HOUSE,Internal Webinar,,5,5,7% (70),3,60.0%,3,60.0%,,0.0%,$0,,
IN-HOUSE,WWWS,,1,1,100% (1),1,100.0%,1,100.0%,,0.0%,$0,,
IN-HOUSE,Anthony IG,,1,1,,0,0.0%,0,0.0%,,0.0%,$0,,
IN-HOUSE,Reactivation Scrapers,,49,49,,25,51.0%,24,49.0%,5,10.2%,"$41,985","$8,397",50.6
IN-HOUSE,Google Ads,,5,5,,4,80.0%,4,80.0%,,0.0%,$0,,
IN-HOUSE,LTF - In-House,,2,2,,1,50.0%,2,100.0%,,0.0%,$0,,
EXTERNAL,Instagram,,19,19,6% (300),10,52.6%,12,63.2%,2,10.5%,"$12,994","$6,497",1.5
UNCATEGORIZED,No Attribution,,10,10,,5,50.0%,3,30.0%,,0.0%,$0,,
TOTAL,TOTAL,,121,,,70,57.9%,68,56.2%,15,12.4%,"$115,855","$7,724",27.1
