## REPORT METADATA
Start Date,2026-08-21
End Date,2026-08-27
Week Ending,"August 27th, 2026"
Date Range Label,"August 21 – August 27, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,143,13,9.1%,130,90.9%
Show Rate,49.7%,46.2%,,50.0%,
Showed,71,6,8.5%,65,91.5%
Qualified,64,6,9.4%,58,90.6%
Closed Won,19,2,10.5%,17,89.5%
Close Rate (b→c),13.3%,15.4%,,13.1%,
Revenue,"$166,049","$14,994",9.0%,"$151,055",91.0%
Avg Deal,"$8,739","$7,497",,"$8,886",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,15,15,11% (132),11,73.3%,9,60.0%,2,13.3%,"$21,894","$10,947",12.0
IN-HOUSE,Website,,12,12,12% (100),7,58.3%,7,58.3%,2,16.7%,"$27,997","$13,998",0.5
IN-HOUSE,Internal Webinar,,27,27,39% (70),14,51.9%,13,48.1%,,0.0%,$0,,
IN-HOUSE,Reactivation Scrapers,,71,71,,30,42.3%,26,36.6%,11,15.5%,"$86,470","$7,861",38.5
IN-HOUSE,Google Ads,,4,4,,2,50.0%,2,50.0%,1,25.0%,"$5,697","$5,697",7.0
IN-HOUSE,LTF - In-House,,1,1,,1,100.0%,1,100.0%,1,100.0%,"$8,997","$8,997",71.0
EXTERNAL,Instagram,,12,12,4% (300),6,50.0%,6,50.0%,1,8.3%,"$8,997","$8,997",24.0
EXTERNAL,X,,0,,0% (10),0,0.0%,0,0.0%,1,0.0%,"$5,997","$5,997",14.0
EXTERNAL,Linkedin,,1,1,10% (10),0,0.0%,0,0.0%,,0.0%,$0,,
TOTAL,TOTAL,,143,,,71,49.7%,64,44.8%,19,13.3%,"$166,049","$8,739",29.2
