## REPORT METADATA
Start Date,2026-08-28
End Date,2026-09-03
Week Ending,"September 3rd, 2026"
Date Range Label,"August 28 – September 3, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,112,12,10.7%,100,89.3%
Show Rate,58.9%,75.0%,,57.0%,
Showed,66,9,13.6%,57,86.4%
Qualified,46,8,17.4%,38,82.6%
Closed Won,14,1,7.1%,12,85.7%
Close Rate (b→c),12.5%,8.3%,,12.0%,
Revenue,"$103,014","$5,997",5.8%,"$91,020",88.4%
Avg Deal,"$7,358","$5,997",,"$7,585",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,6,6,5% (132),5,83.3%,4,66.7%,2,33.3%,"$11,994","$5,997",3.5
IN-HOUSE,Meta Ads,,1,1,2% (44),0,0.0%,0,0.0%,,0.0%,$0,,
IN-HOUSE,VSL,,1,1,1% (110),1,100.0%,1,100.0%,,0.0%,$0,,
IN-HOUSE,Website,,8,8,8% (100),6,75.0%,7,87.5%,2,25.0%,"$27,997","$13,998",5.0
IN-HOUSE,Internal Webinar,,20,20,29% (70),11,55.0%,8,40.0%,2,10.0%,"$10,697","$5,348",142.0
IN-HOUSE,Mike Newsletter,,1,1,10% (10),1,100.0%,1,100.0%,,0.0%,$0,,
IN-HOUSE,Reactivation Scrapers,,59,59,,32,54.2%,16,27.1%,3,5.1%,"$17,991","$5,997",98.7
IN-HOUSE,Google Ads,,3,3,,1,33.3%,1,33.3%,1,33.3%,"$5,997","$5,997",21.0
IN-HOUSE,LTF - In-House,,1,1,,0,0.0%,0,0.0%,2,200.0%,"$16,344","$8,172",7.0
EXTERNAL,Instagram,,9,9,3% (300),7,77.8%,7,77.8%,1,11.1%,"$5,997","$5,997",0.0
EXTERNAL,Linkedin,,3,3,30% (10),2,66.7%,1,33.3%,,0.0%,$0,,
UNCATEGORIZED,No Attribution,,0,,,0,0.0%,0,0.0%,1,0.0%,"$5,997","$5,997",
TOTAL,TOTAL,,112,,,66,58.9%,46,41.1%,14,12.5%,"$103,014","$7,358",52.1
