## REPORT METADATA
Start Date,2026-09-11
End Date,2026-09-17
Week Ending,"September 17th, 2026"
Date Range Label,"September 11 – September 17, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,162,14,8.6%,148,91.4%
Show Rate,59.9%,57.1%,,60.1%,
Showed,97,8,8.2%,89,91.8%
Qualified,62,5,8.1%,57,91.9%
Closed Won,14,2,14.3%,12,85.7%
Close Rate (b→c),8.6%,14.3%,,8.1%,
Revenue,"$87,134","$7,185",8.2%,"$79,949",91.8%
Avg Deal,"$6,224","$3,592",,"$6,662",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,9,9,7% (132),8,88.9%,8,88.9%,3,33.3%,"$16,682","$5,561",17.7
IN-HOUSE,VSL,,1,1,1% (110),0,0.0%,0,0.0%,,0.0%,$0,,
IN-HOUSE,Website,,11,11,11% (100),6,54.5%,6,54.5%,,0.0%,$0,,
IN-HOUSE,Internal Webinar,,37,37,53% (70),24,64.9%,14,37.8%,,0.0%,$0,,
IN-HOUSE,Mike Newsletter,,1,1,10% (10),1,100.0%,0,0.0%,,0.0%,$0,,
IN-HOUSE,WWWS,,1,1,100% (1),1,100.0%,1,100.0%,,0.0%,$0,,
IN-HOUSE,Reactivation Scrapers,,77,77,,41,53.2%,24,31.2%,8,10.4%,"$62,079","$7,760",32.8
IN-HOUSE,Google Ads,,10,10,,7,70.0%,3,30.0%,,0.0%,$0,,
IN-HOUSE,LTF - In-House,,1,1,,1,100.0%,1,100.0%,1,100.0%,"$1,188","$1,188",93.0
EXTERNAL,Instagram,,13,13,4% (300),7,53.8%,4,30.8%,2,15.4%,"$7,185","$3,592",5.0
EXTERNAL,Linkedin,,1,1,10% (10),1,100.0%,1,100.0%,,0.0%,$0,,
TOTAL,TOTAL,,162,,,97,59.9%,62,38.3%,14,8.6%,"$87,134","$6,224",29.9
